brand,outbound_count,reply_rate,gets_further_reply_rate
AmazonHelp,169840,0.997,0.502
AppleSupport,106860,0.999,0.295
Uber_Support,56270,1.0,0.321
SpotifyCares,43265,0.999,0.319
Delta,42253,0.999,0.284
Tesco,38573,0.998,0.289
AmericanAir,36764,0.995,0.396
TMobileHelp,34317,0.999,0.284
comcastcares,33031,0.999,0.231
British_Airways,29361,0.998,0.344
SouthwestAir,28977,0.997,0.296
VirginTrains,27817,0.989,0.548
Ask_Spectrum,25860,0.998,0.297
XboxSupport,24557,0.991,0.417
sprintcare,22381,0.998,0.328
hulu_support,21872,0.996,0.352
sainsburys,19466,0.997,0.42
GWRHelp,19364,0.996,0.564
AskPlayStation,19098,0.979,0.422
ChipotleTweets,18749,0.993,0.321
